GUID,Welt (codiert),Welt (uncodiert),Europa Smaragd,Europa (codiert),Europa (uncodiert),Schweiz (codiert),Schweiz (uncodiert),Schweiz Kriterien,Bemerkungen
BC13E498-9506-45C3-8A06-171DDCFEAFA2,,,,,,LC,nicht gefährdet,,
BC61FC68-C77C-43F3-A8B6-35F1EB4D5F4D,,,,,,DD,ungenügende Datengrundlage,,
BC6ABCBE-A369-4467-99C9-EC8064065D60,,,,,,NE,nicht evaluiert,,
BC7612F9-6D28-47D4-ADF0-F3EEFAC7F612,,,,,,NE,nicht evaluiert,,
BD0BE22D-29C3-4CD2-88DD-6C4157DBE357,,,,,,LC,nicht gefährdet,,
BD672308-FAC8-4A16-AEC7-2228ED7EA56E,,,,,,NT,potentiell gefährdet,D2,
BD78A404-163A-4D82-95BC-A38A546A5140,,,,,,VU,verletzlich,D2,
BD83FA41-CF08-4715-96F9-EBEB6E274E42,,,,,,NE,nicht evaluiert,,
BDAC9EE1-A1A2-4436-AEC5-7BDCB450EDCD,,,,,,LC,nicht gefährdet,,
BDAE619B-264E-465E-8BA0-4E4BD25B9E9A,,,,,,LC,nicht gefährdet,,
BDB958AD-E00D-4D0B-AE6A-8C636BE86FFB,,,,,,LC,nicht gefährdet,,
BDBB1915-EEBE-4FAC-B264-D5A91770E0E2,,,,,,NE,nicht evaluiert,,
BDE7B220-3409-492F-9691-6A2D10DAE6BF,,,,,,NE,nicht evaluiert,,
BE1334EB-1390-4C19-AAD9-A4443324AA53,,,,,,LC,nicht gefährdet,,
BE227FCB-262A-43E4-9C32-DA73962AB85E,,,,R,rare,CR,vom Aussterben bedroht,B1ab(iv)+2ab(iv),"weltweit sehr beschränktes Verbreitungsgebiet, nur im Tessin und Norditalien, letzter Fund 1982"
BE2A7B02-C4D8-46A1-8E1A-DA7898A37FE3,,,,,,NE,nicht evaluiert,,
BE2F4CEF-ABFF-4E86-9B8B-D1327FCD30DE,,,,,,LC,nicht gefährdet,,
BE6A8D37-E2E6-4F00-9745-0BEEC485757B,,,,,,NE,nicht evaluiert,,
BE780D1E-B892-4E95-AD7E-EDEDBB5C30BD,,,,,,LC,nicht gefährdet,,
BE954BC6-E7BA-4AB6-84F5-DF416CCFCD76,,,,,,VU,verletzlich,D2,
BE9EB5C8-A48E-4628-A671-E79AEF26E0D3,,,,,,LC,nicht gefährdet,,nur in der Südschweiz
BECE6400-F863-48D9-BE21-69CDB37D5391,,,,,,VU,verletzlich,D2,abhängig vom Moor- und Auenschutz
BF4431F2-B088-4B4F-9EFB-CA792A1C47E1,,,,,,DD,ungenügende Datengrundlage,,Taxonomie unklar
BF9E5F78-A541-4D09-A994-1F84D67D0835,,,,,,LC,nicht gefährdet,,
BFF395F4-DB22-4DD2-AAD2-0E675F7C2996,,,,,,NT,potentiell gefährdet,D2,
BFF7FC92-1B60-4C41-BEEA-C4306A122234,,,,,,NE,nicht evaluiert,,
C010181E-034D-44A9-963C-D057FEBE521B,,,,,,LC,nicht gefährdet,,
C049DC25-8689-4D29-8F9D-E58901740288,,,,,,LC,nicht gefährdet,,
